Single
3648
Scan 0,   
720, 82.0
721, 77.0
722, 80.0
723, 74.0
724, 75.0
725, 74.0
726, 78.0
727, 80.0
728, 80.0
729, 72.0
730, 82.0
731, 76.0
732, 80.0
733, 75.0
734, 81.0
735, 72.0
736, 80.0
737, 77.0
738, 77.0
739, 83.0
740, 75.0
741, 80.0
742, 81.0
743, 79.0
744, 79.0
745, 76.0
746, 74.0
747, 76.0
748, 80.0
749, 76.0
750, 80.0
751, 85.0
752, 81.0
753, 77.0
754, 82.0
755, 73.0
756, 77.0
757, 76.0
758, 78.0
759, 75.0
760, 75.0
761, 74.0
762, 82.0
763, 75.0
764, 79.0
765, 78.0
766, 82.0
767, 78.0
768, 79.0
769, 81.0
770, 77.0
771, 82.0
772, 78.0
773, 76.0
774, 82.0
775, 75.0
776, 78.0
777, 80.0
778, 78.0
779, 78.0
780, 80.0
781, 74.0
782, 75.0
783, 79.0
784, 76.0
785, 74.0
786, 81.0
787, 75.0
788, 81.0
789, 78.0
790, 77.0
791, 78.0
792, 79.0
793, 78.0
794, 77.0
795, 78.0
796, 78.0
797, 77.0
798, 81.0
799, 72.0
800, 80.0
801, 80.0
802, 80.0
803, 81.0
804, 81.0
805, 82.0
806, 78.0
807, 78.0
808, 76.0
809, 73.0
810, 80.0
811, 82.0
812, 81.0
813, 80.0
814, 82.0
815, 77.0
816, 78.0
817, 76.0
818, 83.0
819, 74.0
820, 78.0
821, 77.0
822, 75.0
823, 78.0
824, 79.0
825, 72.0
826, 82.0
827, 79.0
828, 77.0
829, 71.0
830, 78.0
831, 74.0
832, 79.0
833, 79.0
834, 80.0
835, 79.0
836, 75.0
837, 82.0
838, 79.0
839, 77.0
840, 82.0
841, 74.0
842, 82.0
843, 73.0
844, 83.0
845, 77.0
846, 80.0
847, 76.0
848, 78.0
849, 77.0
850, 80.0
851, 72.0
852, 78.0
853, 75.0
854, 79.0
855, 76.0
856, 75.0
857, 78.0
858, 81.0
859, 78.0
860, 85.0
861, 76.0
862, 79.0
863, 74.0
864, 76.0
865, 78.0
866, 82.0
867, 79.0
868, 76.0
869, 74.0
870, 75.0
871, 78.0
872, 81.0
873, 82.0
874, 80.0
875, 76.0
876, 83.0
877, 78.0
878, 80.0
879, 76.0
880, 81.0
881, 77.0
882, 80.0
883, 75.0
884, 76.0
885, 77.0
886, 77.0
887, 72.0
888, 82.0
889, 80.0
890, 81.0
891, 80.0
892, 74.0
893, 78.0
894, 75.0
895, 76.0
896, 81.0
897, 76.0
898, 78.0
899, 77.0
900, 80.0
901, 77.0
902, 82.0
903, 76.0
904, 77.0
905, 77.0
906, 85.0
907, 76.0
908, 80.0
909, 78.0
910, 81.0
911, 80.0
912, 85.0
913, 80.0
914, 78.0
915, 76.0
916, 76.0
917, 80.0
918, 79.0
919, 78.0
920, 82.0
921, 75.0
922, 77.0
923, 80.0
924, 82.0
925, 79.0
926, 80.0
927, 75.0
928, 81.0
