Single
3648
Scan 0,   
613, 62.0
614, 61.0
615, 63.0
616, 65.0
617, 63.0
618, 61.0
619, 65.0
620, 64.0
621, 64.0
622, 61.0
623, 64.0
624, 64.0
625, 63.0
626, 62.0
627, 67.0
628, 63.0
629, 63.0
630, 62.0
631, 60.0
632, 69.0
633, 59.0
634, 63.0
635, 60.0
636, 58.0
637, 60.0
638, 63.0
639, 61.0
640, 61.0
641, 63.0
642, 63.0
643, 60.0
644, 63.0
645, 64.0
646, 65.0
647, 64.0
648, 64.0
649, 64.0
650, 62.0
651, 64.0
652, 63.0
653, 65.0
654, 62.0
655, 64.0
656, 59.0
657, 65.0
658, 63.0
659, 62.0
660, 64.0
661, 63.0
662, 60.0
663, 61.0
664, 66.0
665, 61.0
666, 63.0
667, 65.0
668, 63.0
669, 62.0
670, 66.0
671, 67.0
672, 66.0
673, 60.0
674, 62.0
675, 64.0
676, 61.0
677, 59.0
678, 62.0
679, 61.0
680, 61.0
681, 63.0
682, 64.0
683, 65.0
684, 60.0
685, 62.0
686, 61.0
687, 65.0
688, 65.0
689, 64.0
690, 62.0
691, 66.0
692, 61.0
693, 61.0
694, 63.0
695, 63.0
696, 61.0
697, 65.0
698, 62.0
699, 59.0
700, 62.0
701, 66.0
702, 65.0
703, 61.0
704, 63.0
705, 62.0
706, 64.0
707, 65.0
708, 60.0
709, 64.0
710, 58.0
711, 65.0
712, 63.0
713, 63.0
714, 61.0
715, 65.0
716, 62.0
717, 61.0
718, 63.0
719, 63.0
720, 63.0
721, 65.0
722, 63.0
723, 63.0
724, 66.0
725, 64.0
726, 58.0
727, 62.0
728, 59.0
729, 60.0
730, 66.0
731, 63.0
732, 62.0
733, 64.0
734, 63.0
735, 64.0
736, 63.0
737, 62.0
738, 59.0
739, 64.0
740, 67.0
741, 59.0
742, 62.0
743, 66.0
744, 65.0
745, 62.0
746, 61.0
747, 63.0
748, 64.0
749, 60.0
750, 62.0
751, 58.0
752, 63.0
753, 61.0
754, 60.0
755, 56.0
756, 63.0
757, 63.0
758, 58.0
759, 62.0
760, 64.0
761, 63.0
762, 63.0
763, 65.0
764, 63.0
765, 62.0
766, 60.0
767, 64.0
768, 63.0
769, 62.0
770, 63.0
771, 64.0
772, 64.0
773, 60.0
774, 63.0
775, 59.0
776, 61.0
777, 63.0
778, 63.0
779, 64.0
780, 62.0
781, 61.0
782, 62.0
783, 60.0
784, 61.0
785, 63.0
786, 63.0
787, 62.0
788, 64.0
789, 63.0
790, 64.0
791, 63.0
792, 63.0
793, 63.0
794, 61.0
795, 65.0
796, 66.0
797, 62.0
798, 62.0
799, 65.0
800, 65.0
801, 64.0
802, 67.0
803, 61.0
804, 65.0
805, 66.0
806, 61.0
807, 64.0
808, 67.0
809, 63.0
810, 60.0
811, 60.0
812, 64.0
813, 62.0
814, 69.0
815, 62.0
816, 65.0
817, 65.0
818, 63.0
819, 62.0
820, 63.0
821, 60.0
822, 65.0
823, 60.0
824, 68.0
825, 59.0
826, 58.0
827, 64.0
828, 62.0
829, 58.0
830, 63.0
831, 62.0
832, 64.0
833, 59.0
834, 63.0
835, 62.0
836, 61.0
