Single
3648
Scan 0,   
610, 68.0
611, 73.0
612, 75.0
613, 76.0
614, 72.0
615, 80.0
616, 81.0
617, 70.0
618, 75.0
619, 76.0
620, 75.0
621, 78.0
622, 76.0
623, 77.0
624, 77.0
625, 73.0
626, 77.0
627, 77.0
628, 75.0
629, 77.0
630, 77.0
631, 72.0
632, 75.0
633, 78.0
634, 76.0
635, 76.0
636, 73.0
637, 78.0
638, 79.0
639, 78.0
640, 76.0
641, 73.0
642, 74.0
643, 68.0
644, 77.0
645, 75.0
646, 75.0
647, 76.0
648, 76.0
649, 78.0
650, 74.0
651, 78.0
652, 76.0
653, 78.0
654, 78.0
655, 76.0
656, 79.0
657, 72.0
658, 75.0
659, 72.0
660, 75.0
661, 74.0
662, 76.0
663, 78.0
664, 76.0
665, 73.0
666, 72.0
667, 76.0
668, 76.0
669, 75.0
670, 76.0
671, 78.0
672, 76.0
673, 78.0
674, 76.0
675, 77.0
676, 73.0
677, 74.0
678, 78.0
679, 79.0
680, 75.0
681, 75.0
682, 78.0
683, 76.0
684, 74.0
685, 76.0
686, 77.0
687, 76.0
688, 78.0
689, 77.0
690, 72.0
691, 76.0
692, 71.0
693, 74.0
694, 77.0
695, 78.0
696, 74.0
697, 74.0
698, 74.0
699, 79.0
700, 80.0
701, 77.0
702, 77.0
703, 75.0
704, 78.0
705, 78.0
706, 78.0
707, 78.0
708, 76.0
709, 77.0
710, 73.0
711, 77.0
712, 73.0
713, 76.0
714, 75.0
715, 74.0
716, 77.0
717, 78.0
718, 73.0
719, 75.0
720, 73.0
721, 75.0
722, 73.0
723, 74.0
724, 75.0
725, 76.0
726, 73.0
727, 71.0
728, 75.0
729, 74.0
730, 77.0
731, 78.0
732, 71.0
733, 75.0
734, 74.0
735, 74.0
736, 77.0
737, 74.0
738, 78.0
739, 76.0
740, 76.0
741, 74.0
742, 78.0
743, 76.0
744, 72.0
745, 77.0
746, 73.0
747, 76.0
748, 71.0
749, 77.0
750, 70.0
751, 76.0
