Single
3648
Scan 0,   
1712, 87.0
1713, 87.0
1714, 87.0
1715, 86.0
1716, 89.0
1717, 85.0
1718, 91.0
1719, 93.0
1720, 91.0
1721, 87.0
1722, 87.0
1723, 90.0
1724, 94.0
1725, 91.0
1726, 88.0
1727, 88.0
1728, 97.0
1729, 89.0
1730, 89.0
1731, 91.0
1732, 95.0
1733, 93.0
1734, 93.0
1735, 90.0
1736, 86.0
1737, 91.0
1738, 95.0
1739, 94.0
1740, 95.0
1741, 91.0
1742, 92.0
1743, 87.0
1744, 91.0
1745, 97.0
1746, 99.0
1747, 99.0
1748,102.0
1749,106.0
1750,103.0
1751,105.0
1752,105.0
1753,104.0
1754,108.0
1755,106.0
1756,112.0
1757,117.0
1758,120.0
1759,121.0
1760,122.0
1761,118.0
1762,116.0
1763,114.0
1764,125.0
1765,122.0
1766,127.0
1767,129.0
1768,147.0
1769,143.0
1770,148.0
1771,133.0
1772,132.0
1773,131.0
1774,145.0
1775,154.0
1776,185.0
1777,190.0
1778,196.0
1779,182.0
1780,186.0
1781,186.0
1782,232.0
1783,298.0
1784,400.0
1785,438.0
1786,393.0
1787,344.0
1788,417.0
1789,659.0
1790,1116.0
1791,1694.0
1792,2372.0
1793,2987.0
1794,3488.0
1795,3613.0
1796,3562.0
1797,3037.0
1798,2162.0
1799,1186.0
1800,574.0
1801,312.0
1802,308.0
1803,334.0
1804,348.0
1805,294.0
1806,269.0
1807,208.0
1808,169.0
1809,150.0
1810,151.0
1811,143.0
1812,163.0
1813,163.0
1814,182.0
1815,157.0
1816,164.0
1817,142.0
1818,143.0
1819,123.0
1820,126.0
1821,126.0
1822,129.0
1823,126.0
1824,134.0
1825,126.0
1826,132.0
1827,125.0
1828,127.0
1829,113.0
1830,119.0
1831,109.0
1832,114.0
1833,109.0
1834,109.0
1835,103.0
1836,111.0
1837,108.0
1838,110.0
1839,101.0
1840,107.0
1841,107.0
1842,111.0
1843,106.0
1844,103.0
1845, 99.0
1846,103.0
1847, 97.0
1848, 97.0
1849, 99.0
1850,104.0
1851, 93.0
1852,103.0
1853, 93.0
1854, 95.0
1855, 94.0
1856, 94.0
1857, 89.0
1858, 95.0
1859, 97.0
1860, 94.0
1861, 92.0
1862, 91.0
1863, 92.0
1864, 93.0
1865, 92.0
1866, 93.0
1867, 94.0
1868, 89.0
1869, 90.0
1870, 96.0
1871, 89.0
1872, 91.0
1873, 87.0
1874, 94.0
1875, 87.0
1876, 85.0
1877, 90.0
1878, 88.0
1879, 86.0
